COWNum;COWID;StateName;OtherName;ISD_Category;Region;Start;Start_Am;EStart;EStart_Am;Declare;DecDate;Population;PopDate;PopAm;PopulationHigh;PopulationLow;StartType;StartType_Am;StartSettle;End;End_Am;EndType;EndType_Am;EndSettle;Sovereignty_Am;EuroDip;Borders;Borders_Am;Latitude;Longitude;VioStart;VioStart_Am;VioEnd;VioEnd_Am
4741;ABJ;Abuja Emirate;Suleja Emirate;3;1;01-01-1828;1;-9;-9;0;-9;-9;1952;1;70000;-9;1;0;0;31-12-1902;0;1;0;0;0;-9;0;1;9 4 0 N;7 29 0 E;0;0;1;0
4752;ADA;Adamawa;Adamawa Emirate Fombina Gongola;3;1;01-01-1841;0;-9;-9;0;-9;3000000;1882;0;-9;-9;2;0;0;14-11-1893;0;1;0;1;0;1;0;1;9 13 48 N;12 27 36 E;1;0;1;0
615;ALG;Algeria;-9;2;1;01-01-1816;0;1525;1;0;-9;2000000;1825;0;3500000;-9;2;0;0;21-12-1847;0;2;0;1;0;1;1;0;36 45 14 N;3 3 32 E;1;0;1;0
615;ALG;Algeria;-9;1;1;5-7-1962;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
540;ANG;Angola;-9;1;1;11-11-1975;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
5813;ANJ;Anjouan;Ndzuwani, Johanna;3;1;01-01-1816;0;1500;1;0;-9;30000;1750;1;-9;-9;1;0;0;31-12-1886;1;1;0;1;0;1;1;0;12 10 0 S;44 24 0 E;-9;-9;-9;1
5002;ANK;Ankole;Nkore Kimgdom;3;1;01-01-1816;0;1700;1;0;-9;100000;1950;0;25000;25000;2;0;0;31-12-1898;0;1;0;1;0;1;0;0;0 36 36.4 S;30 38 27.2 E;1;0;1;0
4797;ARO;Aro Confederacy;Arochukwu;3;1;01-01-1816;0;1690;1;0;-9;-9;-9;1;-9;-9;1;0;0;31-01-1902;0;1;0;0;0;1;0;1;5 23 0 N;7 55 0 E;1;0;1;0
4521;AST;Ashanti;Asante Empire;1;1;01-01-1816;0;1690;1;0;-9;500000;1800;0;3000000;349000;1;1;0;17-01-1896;0;1;0;0;0;1;1;1;6 41 45.1 N;1 36 51.8 W;1;1;1;0
4908;AZA;Azanda;Zande Kingdom, Bakuba, Bushongo;2;1;01-01-1816;0;1750;1;0;-9;1200000;1895;0;2000000;750000;1;1;0;17-01-1896;1;1;0;0;0;1;0;1;5 36 45.2 N;28 19 45.3 E;1;0;1;0
4831;BRG;Bagirmi;Baguirmi;3;1;01-01-1816;0;1522;1;0;-9;100000;1903;0;-9;15000;1;0;0;31-12-1897;0;1;0;1;1;1;0;1;11 24 0 N;16 10 0 E;1;0;1;0
434;BEN;Benin;-9;1;1;1-8-1960;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
4776;BNE;Benin Empire;Benin Kingdom;3;1;01-01-1816;0;1473;1;0;-9;1500000;1834;0;-9;1500000;1;0;0;17-02-1897;0;1;0;0;0;1;0;0;6 20 05.8 N;5 37 03.9 E;1;0;1;0
4798;BRG;Borgu;Borgu Kingdom;3;1;01-01-1816;0;1790;0;0;-9;40000;1905;0;40000;27969;1;0;0;31-12-1898;0;1;0;1;0;1;0;0;9 53 0 N;4 31 0 E;1;0;0;1
571;BOT;Botswana;-9;1;1;30-9-1966;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
4352;BRK;Brakna;-9;3;1;01-01-1816;1;1700;0;0;-9;615000;1848;0;-9;-9;1;1;0;31-12-1905;0;1;0;1;0;1;0;1;17 3 0 N;13 55 0 W;1;0;0;0
5001;BUG;Buganda;Ganda Kingdom;2;1;01-01-1816;0;1700;1;-9;-9;750000;1875;0;1000000;-9;1;0;-9;29-03-1893;0;1;0;1;0;1;0;1;0 19 23.0 N;32 34 56.5 E;1;1;1;1
5003;BUN;Bunyoro;Bunyoro-Kitara, Nyoro Kingdom;3;1;01-01-1816;0;1500;0;0;-9;2000000;1893;0;2500000;100000;3;0;0;31-12-1893;0;1;0;0;0;1;0;0;0 24 01.4 N;30 59 00.1 E;1;0;1;0
439;BFO;Burkina Faso;-9;1;1;5-8-1960;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
516;BUI;Burundi;-9;1;1;1-7-1962;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
471;CAO;Cameroon;-9;1;1;1-1-1960;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
402;CAP;Cape Verde;-9;1;1;5-7-1975;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
4333;CAY;Cayor;Kajoor, Damel;2;1;01-01-1816;0;1556;0;-9;-9;250000;1775;0;250000;180000;2;0;0;01-02-1861;1;1;0;1;0;1;0;1;15 37 07.7 N;16 13 50.9 W;1;0;1;0
482;CEN;Central African Republic;-9;1;1;13-8-1960;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
483;CHA;Chad;-9;1;1;11-8-1960;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
581;COM;Comoros;-9;1;1;31-12-1975;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
484;CON;Congo;-9;1;1;15-8-1960;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
434;DAH;Dahomey;The Fon Kingdom;2;1;01-01-1823;1;1715;0;1;01-01-1831;200000;1850;0;300000;150000;2;0;0;29-01-1894;1;1;0;1;0;1;1;1;7 11 07.1 N;1 59 48.4 E;1;0;1;0
6251;DAR;Darfur;Fur Sultanate;1;1;01-01-1816;0;1650;0;0;-9;100000;1956;0;1500000;-9;2;0;0;01-01-1874;1;2;0;1;0;1;-9;1;13 37 17.4 N;25 21 11.2 E;1;0;1;0
490;DRC;Democratic Republic of the Congo;-9;1;1;30-6-1960;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
522;DJI;Djibouti;-9;1;1;27-6-1977;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
4768;EGB;Egba;Abeokuta (the capital);3;1;01-01-1830;0;-9;-9;1;-9;150000;1845;0;-9;40000;3;1;-9;31-12-1893;0;1;0;1;0;1;0;0;7 9 39 N;3 20 54 E;0;0;1;0
651;EGY;Egypt;-9;1;1;1-1-1833;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;15-9-1882;1;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
651;EGY;Egypt;-9;1;1;26-5-1937;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
5321;LIM;Enarya (Limmu);Limmu-Enarya (or Limmu-Innarya), Inarit;2;1;01-01-1816;1;1632;0;0;-9;100000;1840;0;-9;40000;2;0;0;01-01-1882;1;2;0;0;0;1;0;1;7 36 09.9 N;36 43 38.8 E;1;0;1;1
411;EQG;Equatorial Guinea;-9;1;1;12-10-1968;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
531;ERI;Eritrea;-9;1;1;24-5-1993;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
530;ETH;Ethiopia;Abyssinian Kingdom, Solomonic Dynasty, Abyssinia;1;1;01-01-1816;0;1270;0;0;-9;2000000;1842;0;4000000;-9;6;1;0;07-05-1936;1;2;0;0;0;1;0;0;14 07 25.7 N;38 44 21.2 E;1;0;1;1
530;ETH;Ethiopia;-9;1;1;5-5-1941;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
4381;DJA;Fouta Djallon;Fouta Jallon, Futa Jallon, Fuuta Jaloon;2;1;01-01-1816;0;1750;1;0;-9;100000;-9;0;-9;100000;1;1;0;06-02-1887;0;1;0;1;0;1;1;1;11 19 3 N;12 17 23 W;1;0;1;1
4331;FTO;Fouta Toro;Futa Toro, Fuuta Toro;2;1;01-01-1816;0;1776;0;0;-9;250000;1900;0;700000;100000;6;1;0;06-02-1891;1;1;0;0;0;1;1;1;16 39 36.8 N;14 57 34.6 W;1;0;1;1
6252;FNJ;Funj Sultanate;Sennar, Funj Kingdom, Funj Sultanate of Sennar (or Sinnar);1;1;01-01-1816;0;1504;0;0;-9;100000;1699;0;-9;-9;1;0;0;01-06-1821;0;2;0;0;0;1;1;1;13 38 59.2 N;33 33 44.3 E;1;0;1;0
481;GAB;Gabon;-9;1;1;17-8-1960;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
420;GAM;Gambia;-9;1;1;18-2-1965;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
5516;GAZ;Gaza Empire;-9;2;1;01-01-1821;1;-9;-9;0;-9;95000;1900;0;210000;95000;1;0;0;28-12-1895;0;1;0;0;0;1;0;0;20 28 25.9 S;32 56 35.4 E;1;0;1;0
5223;GEL;Geledi Sultanate;Gobroon Kingdom;3;1;01-01-1816;0;1799;1;0;-9;100000;1840;0;-9;40000;3;0;0;31-12-1908;0;1;0;0;0;1;0;0;2 08 34.3 N;45 06 59.9 E;1;0;1;0
5323;GEA;Gera;-9;3;1;01-01-1835;1;-9;-9;0;-9;15500;1880;1;-9;-9;2;0;0;31-12-1896;1;2;0;0;0;-9;0;0;7 40 0 N;36 15 0 E;1;0;1;0
452;GHA;Ghana;-9;1;1;6-3-1957;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
5324;GOM;Gomma;Goma;3;1;01-01-1816;0;1750;1;0;-9;15000;1880;1;18000;-9;1;1;0;31-01-1886;0;2;0;0;1;1;1;0;7 51 0 N;36 35 0 E;0;1;1;1
438;GUI;Guinea;-9;1;1;2-10-1958;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
404;GNB;Guinea-Bissau;-9;1;1;10-9-1974;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
5325;GUM;Gumma;Guma;3;1;01-01-1816;0;1810;1;0;-9;50000;1880;0;-9;-9;1;0;0;31-12-1902;0;2;0;0;0;-9;0;1;8 20 0 N;36 40 0 E;1;0;1;0
