COWNum;COWID;StateName;OtherName;ISD_Category;Region;Start;Start_Am;EStart;EStart_Am;Declare;DecDate;Population;PopDate;PopAm;PopulationHigh;PopulationLow;StartType;StartType_Am;StartSettle;End;End_Am;EndType;EndType_Am;EndSettle;Sovereignty_Am;EuroDip;Borders;Borders_Am;Latitude;Longitude;VioStart;VioStart_Am;VioEnd;VioEnd_Am
570;LES;Lesotho;Basutoland, Basotho, Sotho;2;1;01-01-1823;1;-9;-9;0;-9;130000;1868;0;130000;127000;1;1;0;22-02-1848;0;2;0;1;0;1;0;1;29 35 06.1 S;28 14 18.4 E;1;0;0;0
570;LES;Lesotho;Basutoland, Basotho, Sotho;2;1;24-12-1852;0;-9;-9;1;23-02-1854;130000;1868;0;130000;127000;2;0;1;12-03-1868;0;1;0;1;0;1;1;0;29 35 06.1 S;28 14 18.4 E;1;0;1;0
570;LES;Lesotho;-9;1;1;4-10-1966;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
450;LBR;Liberia;-9;1;1;26-07-1847;0;-9;-9;1;26-07-1847;257000;1847;0;2000000;-9;6;1;1;31-12-2016;0;-9;-9;-9;0;1;1;0;6 18 48 N;10 48 5 W;0;0;0;0
620;LIB;Libya;-9;1;1;01-01-1816;0;1711;1;0;-9;250000;1816;0;1000000;100000;2;0;0;31-12-1835;0;1;0;0;0;1;1;0;32 53 14 N;13 11 29 E;1;0;1;0
620;LIB;Libya;-9;1;1;24-12-1951;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
4842;LNG;Loango Kingdom;Vili Kingdom of Loango;3;1;01-01-1816;0;1550;1;0;-9;750000;1886;0;-9;-9;2;0;0;31-12-1834;1;4;1;0;0;1;0;0;1 30 59.9 S;11 49 00.0 E;0;1;0;0
4904;LUB;Luba;Luba-Kunda Empire, Baluba;2;1;01-01-1816;0;1550;1;0;-9;211000;1931;0;2000000;200000;1;0;0;31-12-1891;1;1;0;0;0;1;0;0;7 02 32.6 S;25 46 48.0 E;1;0;1;0
4902;LUN;Lunda Empire;Rund Kingdom;2;1;01-01-1816;0;1700;1;0;-9;1000000;1810;0;2000000;1000000;1;0;0;31-12-1885;1;2;0;0;0;1;0;1;8 27 13.6 S;22 41 20.8 E;1;0;1;0
580;MAG;Madagascar;The Merina Empire the Kingdom of Madagascar the Kingdom of Imerina;2;1;01-01-1816;0;1783;1;0;-9;2500000;1878;0;4000000;800000;1;1;0;17-12-1895;0;1;0;1;0;1;1;1;18 52 44.0 S;47 30 36.4 E;1;1;1;0
