gid,year,excluded,gcp_mer,gwno,pop_gpw_sum,urban_ih
"59972","2014",,,"155",,
"59973","2014",,,"155",,
"59974","2014",,,"155",,
"59975","2014",,,"155",,
"59976","2014",,,"160",,
"59977","2014",,,"160",,
"59978","2014",,,"160",,
"59979","2014",,,"160",,
"59980","2014",,,"160",,
"59981","2014",,,"160",,
"59982","2014",,,"160",,
"59983","2014",,,"160",,
"59984","2014",,,"160",,
"59985","2014",,,"160",,
"59986","2014",,,"160",,
"59987","2014",,,"160",,
"59988","2014",,,"160",,
"59989","2014",,,"160",,
"60690","2014",,,"155",,
"60691","2014",,,"155",,
"60692","2014",,,"155",,
"60693","2014",,,"155",,
"60694","2014",,,"155",,
"60695","2014",,,"155",,
"60696","2014",,,"160",,
"60697","2014",,,"160",,
"60698","2014",,,"160",,
"60699","2014",,,"160",,
"60700","2014",,,"160",,
"60701","2014",,,"160",,
"60702","2014",,,"160",,
"60703","2014",,,"160",,
"60704","2014",,,"160",,
"60705","2014",,,"160",,
"60706","2014",,,"160",,
"60707","2014",,,"160",,
"60708","2014",,,"160",,
"60709","2014",,,"160",,
"61411","2014",,,"155",,
"61412","2014",,,"155",,
"61413","2014",,,"155",,
"61414","2014",,,"155",,
"61415","2014",,,"155",,
"61416","2014",,,"155",,
"61417","2014",,,"160",,
"61418","2014",,,"160",,
"61419","2014",,,"160",,
"61420","2014",,,"160",,
"61421","2014",,,"160",,
"61422","2014",,,"160",,
"61423","2014",,,"160",,
"61424","2014",,,"160",,
"61425","2014",,,"160",,
"61426","2014",,,"160",,
"61427","2014",,,"160",,
"61428","2014",,,"160",,
"61429","2014",,,"160",,
"61896","2014",,,"920",,
"61897","2014",,,"920",,
"62129","2014",,,"155",,
"62130","2014",,,"155",,
"62131","2014",,,"155",,
"62132","2014",,,"155",,
"62133","2014",,,"155",,
"62134","2014",,,"155",,
"62135","2014",,,"155",,
"62136","2014",,,"155",,
"62137","2014",,,"160",,
"62138","2014",,,"160",,
"62139","2014",,,"160",,
"62140","2014",,,"160",,
"62141","2014",,,"160",,
"62142","2014",,,"160",,
"62143","2014",,,"160",,
"62144","2014",,,"160",,
"62145","2014",,,"160",,
"62146","2014",,,"160",,
"62147","2014",,,"160",,
"62356","2014",,,"560",,
"62616","2014",,,"920",,
"62617","2014",,,"920",,
"62618","2014",,,"920",,
"62619","2014",,,"920",,
"62620","2014",,,"920",,
"62850","2014",,,"155",,
"62851","2014",,,"155",,
"62852","2014",,,"155",,
"62853","2014",,,"155",,
"62854","2014",,,"155",,
"62855","2014",,,"155",,
"62856","2014",,,"155",,
"62857","2014",,,"155",,
"62858","2014",,,"160",,
"62859","2014",,,"160",,
"62860","2014",,,"160",,
"62861","2014",,,"160",,
"62862","2014",,,"160",,
"62863","2014",,,"160",,
"62864","2014",,,"160",,
"62865","2014",,,"160",,
"62866","2014",,,"160",,
"63333","2014",,,"920",,
"63334","2014",,,"920",,
"63335","2014",,,"920",,
"63336","2014",,,"920",,
"63337","2014",,,"920",,
"63338","2014",,,"920",,
"63339","2014",,,"920",,
"63340","2014",,,"920",,
"63341","2014",,,"920",,
"63570","2014",,,"155",,
"63571","2014",,,"155",,
"63572","2014",,,"155",,
"63573","2014",,,"155",,
"63574","2014",,,"155",,
"63575","2014",,,"155",,
"63576","2014",,,"155",,
"63577","2014",,,"155",,
"63578","2014",,,"160",,
"63579","2014",,,"160",,
"63580","2014",,,"160",,
"63581","2014",,,"160",,
"63582","2014",,,"160",,
"63583","2014",,,"160",,
"63584","2014",,,"160",,
"63585","2014",,,"160",,
"63586","2014",,,"160",,
"64053","2014",,,"920",,
"64054","2014",,,"920",,
"64055","2014",,,"920",,
"64056","2014",,,"920",,
"64057","2014",,,"920",,
"64058","2014",,,"920",,
"64059","2014",,,"920",,
"64060","2014",,,"920",,
"64061","2014",,,"920",,
"64062","2014",,,"920",,
"64291","2014",,,"155",,
"64292","2014",,,"155",,
"64293","2014",,,"155",,
"64294","2014",,,"155",,
"64295","2014",,,"155",,
"64296","2014",,,"155",,
"64297","2014",,,"155",,
"64298","2014",,,"160",,
"64299","2014",,,"160",,
"64300","2014",,,"160",,
"64301","2014",,,"160",,
"64302","2014",,,"160",,
"64303","2014",,,"160",,
"64304","2014",,,"160",,
"64305","2014",,,"160",,
"64306","2014",,,"160",,
"64307","2014",,,"160",,
"64308","2014",,,"160",,
"64309","2014",,,"160",,
"64774","2014",,,"920",,
"64775","2014",,,"920",,
"64776","2014",,,"920",,
"64777","2014",,,"920",,
"64778","2014",,,"920",,
"64779","2014",,,"920",,
"64780","2014",,,"920",,
"64781","2014",,,"920",,
"64782","2014",,,"920",,
"64783","2014",,,"920",,
"65010","2014",,,"155",,
"65011","2014",,,"155",,
"65012","2014",,,"155",,
"65013","2014",,,"155",,
"65014","2014",,,"155",,
"65015","2014",,,"155",,
"65016","2014",,,"155",,
"65017","2014",,,"155",,
"65018","2014",,,"160",,
"65019","2014",,,"160",,
"65020","2014",,,"160",,
"65021","2014",,,"160",,
"65022","2014",,,"160",,
"65023","2014",,,"160",,
"65024","2014",,,"160",,
"65025","2014",,,"160",,
"65026","2014",,,"160",,
"65027","2014",,,"160",,
"65028","2014",,,"160",,
"65029","2014",,,"160",,
"65030","2014",,,"160",,
"65495","2014",,,"920",,
"65496","2014",,,"920",,
"65497","2014",,,"920",,
"65498","2014",,,"920",,
"65499","2014",,,"920",,
"65500","2014",,,"920",,
"65501","2014",,,"920",,
"65502","2014",,,"920",,
"65503","2014",,,"920",,
"65527","2014",,,"920",,
"65528","2014",,,"920",,
"65731","2014",,,"155",,
"65732","2014",,,"155",,
"65733","2014",,,"155",,
"65734","2014",,,"155",,
"65735","2014",,,"155",,
"65736","2014",,,"155",,
"65737","2014",,,"155",,
"65738","2014",,,"160",,
"65739","2014",,,"160",,
"65740","2014",,,"160",,
"65741","2014",,,"160",,
"65742","2014",,,"160",,
"65743","2014",,,"160",,
"65744","2014",,,"160",,
"65745","2014",,,"160",,
"65746","2014",,,"160",,
"65747","2014",,,"160",,
"65748","2014",,,"160",,
"65749","2014",,,"160",,
"65750","2014",,,"160",,
"66216","2014",,,"920",,
"66217","2014",,,"920",,
"66218","2014",,,"920",,
"66219","2014",,,"920",,
"66220","2014",,,"920",,
"66221","2014",,,"920",,
"66222","2014",,,"920",,
"66223","2014",,,"920",,
"66224","2014",,,"920",,
"66247","2014",,,"920",,
"66248","2014",,,"920",,
"66451","2014",,,"155",,
"66452","2014",,,"155",,
"66453","2014",,,"155",,
"66454","2014",,,"155",,
"66455","2014",,,"155",,
"66456","2014",,,"155",,
"66457","2014",,,"155",,
"66458","2014",,,"160",,
"66459","2014",,,"160",,
"66460","2014",,,"160",,
"66461","2014",,,"160",,
"66462","2014",,,"160",,
"66463","2014",,,"160",,
"66464","2014",,,"160",,
"66465","2014",,,"160",,
"66466","2014",,,"160",,
"66467","2014",,,"160",,
"66468","2014",,,"160",,
"66469","2014",,,"160",,
"66470","2014",,,"160",,
"66893","2014",,,"900",,
"66894","2014",,,"900",,
"66895","2014",,,"900",,
"66938","2014",,,"920",,
"66939","2014",,,"920",,
"66940","2014",,,"920",,
"66941","2014",,,"920",,
"66942","2014",,,"920",,
"66943","2014",,,"920",,
"66944","2014",,,"920",,
"66945","2014",,,"920",,
"66946","2014",,,"920",,
"66947","2014",,,"920",,
"67172","2014",,,"155",,
"67173","2014",,,"155",,
"67174","2014",,,"155",,
"67175","2014",,,"155",,
"67176","2014",,,"155",,
"67177","2014",,,"160",,
"67178","2014",,,"160",,
"67179","2014",,,"160",,
"67180","2014",,,"160",,
"67181","2014",,,"160",,
"67182","2014",,,"160",,
"67183","2014",,,"160",,
"67184","2014",,,"160",,
"67185","2014",,,"160",,
"67186","2014",,,"160",,
"67187","2014",,,"160",,
"67188","2014",,,"160",,
"67189","2014",,,"160",,
"67190","2014",,,"160",,
"67191","2014",,,"160",,
"67192","2014",,,"160",,
"67612","2014",,,"900",,
"67613","2014",,,"900",,
"67614","2014",,,"900",,
"67615","2014",,,"900",,
"67616","2014",,,"900",,
"67617","2014",,,"900",,
"67660","2014",,,"920",,
"67661","2014",,,"920",,
"67662","2014",,,"920",,
"67663","2014",,,"920",,
"67664","2014",,,"920",,
"67665","2014",,,"920",,
"67666","2014",,,"920",,
"67667","2014",,,"920",,
"67892","2014",,,"155",,
"67893","2014",,,"155",,
"67894","2014",,,"155",,
"67895","2014",,,"155",,
"67896","2014",,,"155",,
"67897","2014",,,"160",,
"67898","2014",,,"160",,
"67899","2014",,,"160",,
"67900","2014",,,"160",,
"67901","2014",,,"160",,
"67902","2014",,,"160",,
"67903","2014",,,"160",,
"67904","2014",,,"160",,
"67905","2014",,,"160",,
"67906","2014",,,"160",,
"67907","2014",,,"160",,
"67908","2014",,,"160",,
"67909","2014",,,"160",,
"67910","2014",,,"160",,
"67911","2014",,,"160",,
"67912","2014",,,"160",,
"67913","2014",,,"160",,
"68331","2014",,,"900",,
"68332","2014",,,"900",,
"68333","2014",,,"900",,
"68334","2014",,,"900",,
"68335","2014",,,"900",,
"68336","2014",,,"900",,
"68337","2014",,,"900",,
"68382","2014",,,"920",,
"68383","2014",,,"920",,
"68384","2014",,,"920",,
"68385","2014",,,"920",,
"68386","2014",,,"920",,
"68387","2014",,,"920",,
"68388","2014",,,"920",,
"68612","2014",,,"155",,
"68613","2014",,,"155",,
"68614","2014",,,"155",,
"68615","2014",,,"155",,
"68616","2014",,,"155",,
"68617","2014",,,"160",,
"68618","2014",,,"160",,
"68619","2014",,,"160",,
"68620","2014",,,"160",,
"68621","2014",,,"160",,
"68622","2014",,,"160",,
"68623","2014",,,"160",,
"68624","2014",,,"160",,
"68625","2014",,,"160",,
"68626","2014",,,"160",,
"68627","2014",,,"160",,
"68628","2014",,,"160",,
"68629","2014",,,"160",,
"68630","2014",,,"160",,
"68631","2014",,,"160",,
"68632","2014",,,"160",,
"68633","2014",,,"160",,
"69051","2014",,,"900",,
"69052","2014",,,"900",,
"69053","2014",,,"900",,
"69054","2014",,,"900",,
"69055","2014",,,"900",,
"69056","2014",,,"900",,
"69057","2014",,,"900",,
"69103","2014",,,"920",,
"69104","2014",,,"920",,
"69105","2014",,,"920",,
"69106","2014",,,"920",,
"69107","2014",,,"920",,
"69108","2014",,,"920",,
"69109","2014",,,"920",,
"69332","2014",,,"155",,
"69333","2014",,,"155",,
"69334","2014",,,"155",,
"69335","2014",,,"155",,
"69336","2014",,,"155",,
"69337","2014",,,"160",,
"69338","2014",,,"160",,
"69339","2014",,,"160",,
"69340","2014",,,"160",,
"69341","2014",,,"160",,
"69342","2014",,,"160",,
"69343","2014",,,"160",,
"69344","2014",,,"160",,
"69345","2014",,,"160",,
"69346","2014",,,"160",,
"69347","2014",,,"160",,
"69348","2014",,,"160",,
"69349","2014",,,"160",,
"69350","2014",,,"160",,
"69351","2014",,,"160",,
"69770","2014",,,"900",,
"69771","2014",,,"900",,
"69772","2014",,,"900",,
"69773","2014",,,"900",,
"69774","2014",,,"900",,
"69775","2014",,,"900",,
"69776","2014",,,"900",,
"69777","2014",,,"900",,
"69823","2014",,,"920",,
"69824","2014",,,"920",,
"69825","2014",,,"920",,
"69826","2014",,,"920",,
"69827","2014",,,"920",,
"69828","2014",,,"920",,
"69829","2014",,,"920",,
"69831","2014",,,"920",,
"69832","2014",,,"920",,
"70053","2014",,,"155",,
"70054","2014",,,"155",,
"70055","2014",,,"155",,
"70056","2014",,,"155",,
"70057","2014",,,"160",,
"70058","2014",,,"160",,
"70059","2014",,,"160",,
"70060","2014",,,"160",,
"70061","2014",,,"160",,
"70062","2014",,,"160",,
"70063","2014",,,"160",,
"70064","2014",,,"160",,
"70065","2014",,,"160",,
"70066","2014",,,"160",,
"70067","2014",,,"160",,
"70068","2014",,,"160",,
"70069","2014",,,"160",,
"70070","2014",,,"160",,
"70072","2014",,,"160",,
"70073","2014",,,"160",,
"70074","2014",,,"160",,
"70075","2014",,,"160",,
"70490","2014",,,"900",,
"70491","2014",,,"900",,
"70492","2014",,,"900",,
"70493","2014",,,"900",,
"70494","2014",,,"900",,
"70495","2014",,,"900",,
"70496","2014",,,"900",,
"70497","2014",,,"900",,
"70544","2014",,,"920",,
"70545","2014",,,"920",,
"70546","2014",,,"920",,
"70547","2014",,,"920",,
"70548","2014",,,"920",,
"70549","2014",,,"920",,
"70550","2014",,,"920",,
"70551","2014",,,"920",,
"70552","2014",,,"920",,
"70553","2014",,,"920",,
"70773","2014",,,"155",,
"70774","2014",,,"155",,
"70775","2014",,,"155",,
"70776","2014",,,"155",,
"70777","2014",,,"160",,
"70778","2014",,,"160",,
"70779","2014",,,"160",,
"70780","2014",,,"160",,
"70781","2014",,,"160",,
"70782","2014",,,"160",,
"70783","2014",,,"160",,
"70784","2014",,,"160",,
"70785","2014",,,"160",,
"70786","2014",,,"160",,
"70787","2014",,,"160",,
"70788","2014",,,"160",,
"70789","2014",,,"160",,
"70790","2014",,,"160",,
"70791","2014",,,"160",,
"70792","2014",,,"160",,
"70793","2014",,,"160",,
"70794","2014",,,"160",,
"70795","2014",,,"160",,
"70796","2014",,,"160",,
"71210","2014",,,"900",,
"71211","2014",,,"900",,
"71212","2014",,,"900",,
"71214","2014",,,"900",,
"71215","2014",,,"900",,
"71216","2014",,,"900",,
"71217","2014",,,"900",,
"71265","2014",,,"920",,
"71266","2014",,,"920",,
"71267","2014",,,"920",,
"71268","2014",,,"920",,
"71269","2014",,,"920",,
"71270","2014",,,"920",,
"71271","2014",,,"920",,
"71272","2014",,,"920",,
"71273","2014",,,"920",,
"71274","2014",,,"920",,
"71493","2014",,,"155",,
"71494","2014",,,"155",,
"71495","2014",,,"155",,
"71496","2014",,,"155",,
"71497","2014",,,"155",,
"71498","2014",,,"160",,
"71499","2014",,,"160",,
"71500","2014",,,"160",,
"71501","2014",,,"160",,
"71502","2014",,,"160",,
"71503","2014",,,"160",,
"71504","2014",,,"160",,
"71505","2014",,,"160",,
"71506","2014",,,"160",,
"71507","2014",,,"160",,
"71508","2014",,,"160",,
"71509","2014",,,"160",,
"71510","2014",,,"160",,
"71511","2014",,,"160",,
"71512","2014",,,"160",,
"71513","2014",,,"160",,
"71514","2014",,,"160",,
"71515","2014",,,"160",,
"71516","2014",,,"160",,
"71928","2014",,,"900",,
"71929","2014",,,"900",,
"71936","2014",,,"900",,
"71937","2014",,,"900",,
"71986","2014",,,"920",,
"71991","2014",,,"920",,
"71992","2014",,,"920",,
"71993","2014",,,"920",,
"71994","2014",,,"920",,
"72213","2014",,,"155",,
"72214","2014",,,"155",,
"72215","2014",,,"155",,
"72216","2014",,,"155",,
"72217","2014",,,"155",,
"72218","2014",,,"160",,
"72219","2014",,,"160",,
"72220","2014",,,"160",,
"72221","2014",,,"160",,
"72222","2014",,,"160",,
"72223","2014",,,"160",,
"72224","2014",,,"160",,
"72225","2014",,,"160",,
"72226","2014",,,"160",,
"72227","2014",,,"160",,
"72228","2014",,,"160",,
"72229","2014",,,"160",,
"72230","2014",,,"160",,
"72231","2014",,,"160",,
"72232","2014",,,"160",,
"72233","2014",,,"160",,
"72234","2014",,,"160",,
"72235","2014",,,"160",,
"72236","2014",,,"160",,
"72648","2014",,,"900",,
"72649","2014",,,"900",,
"72656","2014",,,"900",,
"72657","2014",,,"900",,
"72708","2014",,,"920",,
"72709","2014",,,"920",,
"72710","2014",,,"920",,
"72711","2014",,,"920",,
"72712","2014",,,"920",,
"72713","2014",,,"920",,
"72714","2014",,,"920",,
"72715","2014",,,"920",,
"72934","2014",,,"155",,
"72935","2014",,,"155",,
"72936","2014",,,"155",,
"72937","2014",,,"155",,
"72938","2014",,,"160",,
"72939","2014",,,"160",,
"72940","2014",,,"160",,
"72941","2014",,,"160",,
"72942","2014",,,"160",,
"72943","2014",,,"160",,
"72944","2014",,,"160",,
"72945","2014",,,"160",,
"72946","2014",,,"160",,
"72947","2014",,,"160",,
"72948","2014",,,"160",,
"72949","2014",,,"160",,
"72950","2014",,,"160",,
"72951","2014",,,"160",,
"72952","2014",,,"160",,
"72953","2014",,,"160",,
"72954","2014",,,"160",,
"72955","2014",,,"160",,
"72956","2014",,,"160",,
"72957","2014",,,"160",,
"72958","2014",,,"160",,
"73373","2014",,,"900",,
"73428","2014",,,"920",,
"73429","2014",,,"920",,
"73430","2014",,,"920",,
"73431","2014",,,"920",,
"73432","2014",,,"920",,
"73433","2014",,,"920",,
"73434","2014",,,"920",,
"73435","2014",,,"920",,
"73436","2014",,,"920",,
"73653","2014",,,"155",,
"73654","2014",,,"155",,
"73655","2014",,,"155",,
"73656","2014",,,"155",,
"73657","2014",,,"155",,
"73658","2014",,,"155",,
"73659","2014",,,"160",,
"73660","2014",,,"160",,
"73661","2014",,,"160",,
"73662","2014",,,"160",,
"73663","2014",,,"160",,
"73664","2014",,,"160",,
"73665","2014",,,"160",,
"73666","2014",,,"160",,
"73667","2014",,,"160",,
"73668","2014",,,"160",,
"73669","2014",,,"160",,
"73670","2014",,,"160",,
"73671","2014",,,"160",,
"73672","2014",,,"160",,
"73673","2014",,,"160",,
"73674","2014",,,"160",,
"73675","2014",,,"160",,
"73676","2014",,,"160",,
"73677","2014",,,"160",,
"73678","2014",,,"160",,
"73679","2014",,,"160",,
"73680","2014",,,"160",,
"73681","2014",,,"160",,
"73682","2014",,,"160",,
"73683","2014",,,"160",,
"73684","2014",,,"160",,
"74086","2014",,,"900",,
"74087","2014",,,"900",,
"74088","2014",,,"900",,
"74089","2014",,,"900",,
"74090","2014",,,"900",,
"74091","2014",,,"900",,
"74092","2014",,,"900",,
"74093","2014",,,"900",,
"74094","2014",,,"900",,
"74095","2014",,,"900",,
"74149","2014",,,"920",,
"74150","2014",,,"920",,
"74151","2014",,,"920",,
"74152","2014",,,"920",,
"74153","2014",,,"920",,
"74154","2014",,,"920",,
"74155","2014",,,"920",,
"74156","2014",,,"920",,
"74157","2014",,,"920",,
"74373","2014",,,"155",,
"74374","2014",,,"155",,
"74375","2014",,,"155",,
"74376","2014",,,"155",,
