Brue1875IIIIIIIIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~202201~3000994	Empire d'Alexandre.	Brue, Adrien Hubert, 1786-1832	1875
Brue1875IIIIIIIIIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~202213~3000998	Asie Mineure, Armenie, Syrie, Mesopotamie.	Brue, Adrien Hubert, 1786-1832	1875
Brue1875IIIIIIIIIIIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~202213~3000998	Asie Mineure, Armenie, Syrie, Mesopotamie.	Brue, Adrien Hubert, 1786-1832	1875
LaPerouse1797	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~20222~550043	Mers, Chine, Tartarie. 1.	La Perouse, Jean-Francois de Galaup, comte de, 1741-1788	1797
LaPerouse1797I	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~20223~550044	Coree.	La Perouse, Jean-Francois de Galaup, comte de, 1741-1788	1797
LaPerouse1797II	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~20224~550045	L'iles Quelpaert, Hoapinsu, Dagelet, Botol, Kumi.	La Perouse, Jean-Francois de Galaup, comte de, 1741-1788	1797
Brue1875	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~202292~3001032	Asie.	Brue, Adrien Hubert, 1786-1832	1875
Brue1875IIIIIIIIIIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~202296~3001034	Turquie d'Asie, Perse, Arabie, Afghanistan.	Brue, Adrien Hubert, 1786-1832	1875
Brue1875IIIIIIIIIIIIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~202296~3001034	Turquie d'Asie, Perse, Arabie, Afghanistan.	Brue, Adrien Hubert, 1786-1832	1875
Brue1875II	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~202297~3001035	Inde.	Brue, Adrien Hubert, 1786-1832	1875
Brue1875III	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~202302~3001036	Empire Chinois et Japon.	Brue, Adrien Hubert, 1786-1832	1875
Brue1875IIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~202302~3001036	Empire Chinois et Japon.	Brue, Adrien Hubert, 1786-1832	1875
Brue1875IIIIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~202302~3001036	Empire Chinois et Japon.	Brue, Adrien Hubert, 1786-1832	1875
Brue1875IIIIIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~202302~3001036	Empire Chinois et Japon.	Brue, Adrien Hubert, 1786-1832	1875
Brue1875IIIIIIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~202302~3001036	Empire Chinois et Japon.	Brue, Adrien Hubert, 1786-1832	1875
Brue1875IIIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~202310~3001038	Malaisie.	Brue, Adrien Hubert, 1786-1832	1875
Mitchell1846	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~2027~150062	Asia.	Mitchell, Samuel Augustus	1846
Andriveau-Goujon1838	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~202787~3001087	Asie.	Andriveau-Goujon, J.	1838
Andriveau-Goujon1838II	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~202791~3001089	Oceanie.	Andriveau-Goujon, J.	1838
Andriveau-Goujon1838I	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~202806~3001094	Migrations des Peuples.	Andriveau-Goujon, J.	1838
Andriveau-Goujon1838III	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~202810~3001095	Anciens Empires Jusqua Alexandre.	Andriveau-Goujon, J.	1838
Andriveau-Goujon1838IIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~202810~3001095	Anciens Empires Jusqua Alexandre.	Andriveau-Goujon, J.	1838
Andriveau-Goujon1838IIIIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~202810~3001095	Anciens Empires Jusqua Alexandre.	Andriveau-Goujon, J.	1838
Andriveau-Goujon1838IIIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~202818~3001096	Egypte, Syrie, Asie Mineure.	Andriveau-Goujon, J.	1838
Mitchell1846III	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~2030~150065	Persia Arabia &amp;c.	Mitchell, Samuel Augustus	1846
Mitchell1846IIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~2030~150065	Persia Arabia &amp;c.	Mitchell, Samuel Augustus	1846
Mitchell1846IIIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~2030~150065	Persia Arabia &amp;c.	Mitchell, Samuel Augustus	1846
Mitchell1846IIIIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~2030~150065	Persia Arabia &amp;c.	Mitchell, Samuel Augustus	1846
Mitchell1846I	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~2031~150066	Hindoostan.	Mitchell, Samuel Augustus	1846
Mitchell1846II	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~2032~150067	China.	Mitchell, Samuel Augustus	1846
Colton1858	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~203375~3001593	Asia (physical).	Colton, G.W.	1859
Colton1858I	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~203377~3001594	Asia (political).	Colton, G.W.	1859
Colton1858IIIIIIIIIIIIIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~203383~3001600	Asia (South Western Sheet).	Colton, G.W.	1859
Colton1858IIIIIIIIIIIIIIIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~203383~3001600	Asia (South Western Sheet).	Colton, G.W.	1859
Colton1858IIIIIIIIIIIIIIIIIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~203383~3001600	Asia (South Western Sheet).	Colton, G.W.	1859
Colton1858IIIIIIIIIIIIIIIIIIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~203383~3001600	Asia (South Western Sheet).	Colton, G.W.	1859
Colton1858IIIIIIIIIIIIIIIIIIIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~203383~3001600	Asia (South Western Sheet).	Colton, G.W.	1859
Colton1858IIIIIIIIIIIIIIIIIIIIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~203383~3001600	Asia (South Western Sheet).	Colton, G.W.	1859
Colton1858II	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~203396~3001608	Asia (Southern sheet).	Colton, G.W.	1859
Colton1858III	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~203411~3001618	Asia (Eastern Sheet).	Colton, G.W.	1859
Colton1858IIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~203411~3001618	Asia (Eastern Sheet).	Colton, G.W.	1859
Colton1858IIIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~203411~3001618	Asia (Eastern Sheet).	Colton, G.W.	1859
Colton1858IIIIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~203411~3001618	Asia (Eastern Sheet).	Colton, G.W.	1859
Colton1858IIIIIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~203411~3001618	Asia (Eastern Sheet).	Colton, G.W.	1859
Colton1858IIIIIIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~203411~3001618	Asia (Eastern Sheet).	Colton, G.W.	1859
Colton1858IIIIIIIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~203411~3001618	Asia (Eastern Sheet).	Colton, G.W.	1859
Colton1858IIIIIIIIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~203411~3001618	Asia (Eastern Sheet).	Colton, G.W.	1859
Colton1858IIIIIIIIIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~203411~3001618	Asia (Eastern Sheet).	Colton, G.W.	1859
Colton1858IIIIIIIIIIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~203411~3001618	Asia (Eastern Sheet).	Colton, G.W.	1859
Colton1858IIIIIIIIIIIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~203411~3001618	Asia (Eastern Sheet).	Colton, G.W.	1859
Colton1858IIIIIIIIIIIIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~203411~3001618	Asia (Eastern Sheet).	Colton, G.W.	1859
Colton1858IIIIIIIIIIIIIIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~203455~3001653	Roman Empire.	Colton, G.W.	1859
Colton1858IIIIIIIIIIIIIIIIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~203455~3001653	Roman Empire.	Colton, G.W.	1859
Janvier1780	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~20353~540076	L'Asie.	Janvier, Jean	1791
Bonne1791IIIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~20354~540077	Turquie d'Asie.	Bonne, Rigobert, 1727-1794	1791
RandMcNallyandCompany1897I	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~20361~550103	India, Further India.	Rand McNally and Company	1897
RandMcNallyandCompany1897II	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~20362~550104	China, Indo-China, Malaysia.	Rand McNally and Company	1897
RandMcNallyandCompany1897III	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~20362~550104	China, Indo-China, Malaysia.	Rand McNally and Company	1897
RandMcNallyandCompany1897IIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~20362~550104	China, Indo-China, Malaysia.	Rand McNally and Company	1897
RandMcNallyandCompany1897IIIIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~20362~550104	China, Indo-China, Malaysia.	Rand McNally and Company	1897
RandMcNallyandCompany1897IIIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~20363~550105	Japan.	Rand McNally and Company	1897
Finley1824	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~203877~3002124	Asia.	Finley, Anthony	1824
Finley1824I	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~203885~3002127	Hindoostan.	Finley, Anthony	1824
Finley1824II	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~203890~3002128	China.	Finley, Anthony	1824
Finley1824III	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~203890~3002128	China.	Finley, Anthony	1824
LaPerouse1797III	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~20397~550015	Cotes, l'Amerique, l'Asie.	La Perouse, Jean-Francois de Galaup, comte de, 1741-1788	1797
deVaugondy1750	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~203979~3001750	Facsimile: Part of South America by de Vaugondy.	de Vaugondy, Robert	1897
Van'sGravesande1750	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~204057~3001780	Orinoco-Essequibo Region.	Van's Gravesande, Storm	1897
LaPerouse1797IIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~20416~550039	Mers, Chine, Tartarie.	La Perouse, Jean-Francois de Galaup, comte de, 1741-1788	1797
DuchedeVancy1797	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~20417~550040	Vue de Macao en Chine.	Duche de Vancy, Gaspard	1797
LaPerouse1797IIIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~20418~550046	Mers, Chine, Tartarie. 2.	La Perouse, Jean-Francois de Galaup, comte de, 1741-1788	1797
LaPerouse1797IIIIII	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~20419~550047	Decouvertes nord du Japon.	La Perouse, Jean-Francois de Galaup, comte de, 1741-1788	1797
Blondela1797I	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~20431~550059	Bateau japonais.	Blondela, Lieut.	1797
Blondela1797	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~20432~550060	Champan, bateau chinois. Bateau de Formose.	Blondela, Lieut.	1797
Bonne1787	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~20481~540079	Perse.	Bonne, Rigobert, 1727-1794	1791
Bonne1787I	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~20481~540079	Perse.	Bonne, Rigobert, 1727-1794	1791
Bonne1787II	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~20481~540079	Perse.	Bonne, Rigobert, 1727-1794	1791
Bonne1787III	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~20481~540079	Perse.	Bonne, Rigobert, 1727-1794	1791
Bonne1791	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~20482~540080	Indes Orientales.	Bonne, Rigobert, 1727-1794	1791
Bonne1771	https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~20483~540081	Indes I.	Bonne, Rigobert, 1727-1794	1791
